state	nces_id	school_name	metric	json_value	source_value	status	source_file	notes
IL	170993005092	Chicago Math and Science Academy	attendance.rate	92.7	92.7	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	attendance.chronic	22.9	22.9	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	graduation.4yr	87.9	87.9	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	graduation.5yr	92.9	92.9	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	grad.sub.black	92.3	92.3	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	grad.sub.hispanic	79.4	79.4	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	grad.sub.white	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	grad.sub.ell	85.3	85.3	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	grad.sub.sped	76.9	76.9	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	grad.sub.frl	86.3	86.3	OK	il_assessment_general_2023-24.csv	
IL	170993005092	Chicago Math and Science Academy	staff.retention	82.7	82.7	OK	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	attendance.rate	91.7	91.7	OK	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	attendance.chronic	33.7	33.7	OK	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	graduation.4yr	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	graduation.5yr	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	grad.sub.black	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	grad.sub.hispanic	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	grad.sub.white	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	grad.sub.ell	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	grad.sub.sped	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	grad.sub.frl	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141206309	Horizon Science Academy Belmont	staff.retention	69.2	69.2	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	attendance.rate	92.9	92.9	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	attendance.chronic	23.5	23.5	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	graduation.4yr	93.2	93.2	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	graduation.5yr	91.4	91.4	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	grad.sub.black	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	grad.sub.hispanic	94.2	94.2	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	grad.sub.white	—	—	OK_NULL	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	grad.sub.ell	100.0	100.0	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	grad.sub.sped	91.7	91.7	OK	il_assessment_general_2023-24.csv	
IL	170141006254	Horizon Science Academy McKinley Park	grad.sub.frl	93.0	93.0	OK	il_assessment_general_2023-24.csv	
